country,region,pop_growth,birth_rate,death_rate,maternal_mort_rate,infant_mort_rate,life_expectancy,total_fert_rate,living_with_hiv,hiv_deaths,literacy,gdp_per_capita,unemployment,inflation,adult_obesity,pop_below_poverty
Afghanistan,Asia,2.38,36.7,12.7,638.0,104.3,52.8,4.82,11000.0,500.0,43.0,2000.0,23.9,5.0,5.5,54.5
Akrotiri,Middle East,,,,,,,,,,,,,,,
Albania,Europe,0.28,13.0,7.1,15.0,10.8,79.0,1.53,1400.0,100.0,98.1,12500.0,5.83,2.0,21.7,14.3
Algeria,Africa,1.52,20.0,4.4,112.0,17.6,77.5,2.59,22000.0,200.0,81.4,15200.0,11.7,5.6,27.4,23.0
American Samoa,Oceania,-1.4,17.8,5.9,,9.9,74.8,2.35,,,,11200.0,29.8,-0.5,,
Andorra,Europe,-0.06,7.0,7.7,,3.5,83.0,1.43,,,100.0,49900.0,3.7,-0.9,25.6,
Angola,Africa,3.43,42.7,8.5,241.0,62.3,61.3,5.96,340000.0,13000.0,71.1,6800.0,6.6,29.8,8.2,36.6
Anguilla,Central America and the Caribbean,1.86,12.2,4.8,,3.3,81.8,1.74,,,,12200.0,8.0,1.3,,23.0
Antigua And Barbuda,Central America and the Caribbean,1.18,15.4,5.8,,11.1,77.3,1.97,1000.0,100.0,99.0,26400.0,11.0,2.5,18.9,
Arctic Ocean,Arctic Region,,,,,,,,,,,,,,,
Argentina,South America,0.86,16.0,7.4,39.0,9.0,77.8,2.21,140000.0,1400.0,99.0,20900.0,9.84,25.7,28.3,25.7
Armenia,Asia,-0.30000000000000004,11.9,9.5,26.0,11.5,75.6,1.65,3500.0,100.0,99.7,9500.0,18.9,0.9,20.2,32.0
Aruba,Central America and the Caribbean,1.19,12.1,8.7,,9.8,77.5,1.83,,,97.8,37500.0,7.7,-0.5,,
Ashmore And Cartier Islands,Southeast Asia,,,,,,,,,,,,,,,
Australia,Oceania,1.4,12.4,6.9,6.0,3.1,82.7,1.74,29000.0,100.0,,50400.0,5.16,2.0,29.0,
